Timestamp	FrequencyHz	RealZ	ImagZ	MagZ	AvgResistance_5to100Hz
2025-05-27 14:38:31	5.000000	53.789703	-0.024907	53.789709	53.789703
2025-05-27 14:38:31	25004.975000	52.747657	-0.078802	52.747716	53.789703
2025-05-27 14:38:31	50004.950000	54.888717	0.580223	54.891783	53.789703
2025-05-27 14:38:31	75004.925000	55.139498	0.043636	55.139515	53.789703
2025-05-27 14:38:31	100004.900000	54.609566	-0.209626	54.609969	53.789703
2025-05-27 14:38:31	125004.875000	54.286024	-0.457144	54.287949	53.789703
2025-05-27 14:38:31	150004.850000	53.912178	-0.481275	53.914326	53.789703
2025-05-27 14:38:31	175004.825000	53.583869	-0.341544	53.584958	53.789703
2025-05-27 14:38:31	200004.800000	53.346324	-0.094754	53.346408	53.789703
2025-05-27 14:38:31	225004.775000	53.182099	0.185566	53.182423	53.789703
2025-05-27 14:38:31	250004.750000	53.114401	0.499512	53.116750	53.789703
2025-05-27 14:38:31	275004.725000	53.122322	0.781994	53.128077	53.789703
2025-05-27 14:38:31	300004.700000	53.191741	1.069270	53.202487	53.789703
2025-05-27 14:38:31	325004.675000	53.274161	1.317094	53.290440	53.789703
2025-05-27 14:38:31	350004.650000	53.437016	1.496101	53.457955	53.789703
2025-05-27 14:38:31	375004.625000	53.595442	1.685326	53.621934	53.789703
2025-05-27 14:38:31	400004.600000	53.789741	1.792824	53.819610	53.789703
2025-05-27 14:38:31	425004.575000	53.968553	1.904897	54.002160	53.789703
2025-05-27 14:38:31	450004.550000	54.155928	1.960039	54.191386	53.789703
2025-05-27 14:38:31	475004.525000	54.372216	1.945243	54.407002	53.789703
2025-05-27 14:38:31	500004.500000	54.570062	1.907094	54.603376	53.789703
2025-05-27 14:38:31	525004.475000	54.732630	1.856789	54.764117	53.789703
2025-05-27 14:38:31	550004.450000	54.885636	1.766718	54.914063	53.789703
2025-05-27 14:38:31	575004.425000	55.013620	1.648005	55.038298	53.789703
2025-05-27 14:38:31	600004.400000	55.117403	1.504745	55.137939	53.789703
2025-05-27 14:38:31	625004.375000	55.186810	1.335744	55.202972	53.789703
2025-05-27 14:38:31	650004.350000	55.222367	1.167006	55.234697	53.789703
2025-05-27 14:38:31	675004.325000	55.225674	0.987809	55.234508	53.789703
2025-05-27 14:38:31	700004.300000	55.205094	0.791567	55.210769	53.789703
2025-05-27 14:38:31	725004.275000	55.159544	0.576927	55.162561	53.789703
2025-05-27 14:38:31	750004.250000	55.071257	0.378428	55.072557	53.789703
2025-05-27 14:38:31	775004.225000	54.939923	0.183529	54.940229	53.789703
2025-05-27 14:38:31	800004.200000	54.773854	0.013986	54.773855	53.789703
2025-05-27 14:38:31	825004.175000	54.581225	-0.148594	54.581427	53.789703
2025-05-27 14:38:31	850004.150000	54.370469	-0.279483	54.371187	53.789703
2025-05-27 14:38:31	875004.125000	54.131109	-0.399552	54.132583	53.789703
2025-05-27 14:38:31	900004.100000	53.864425	-0.471300	53.866487	53.789703
2025-05-27 14:38:31	925004.075000	53.598889	-0.544840	53.601658	53.789703
2025-05-27 14:38:31	950004.050000	53.310796	-0.583569	53.313990	53.789703
2025-05-27 14:38:31	975004.025000	53.015118	-0.600723	53.018521	53.789703
2025-05-27 14:38:31	1000004.000000	52.714735	-0.576493	52.717887	53.789703
2025-05-27 14:38:31	1025003.975000	52.409773	-0.528726	52.412440	53.789703
2025-05-27 14:38:31	1050003.950000	52.113220	-0.450567	52.115168	53.789703
2025-05-27 14:38:31	1075003.925000	51.817358	-0.350420	51.818543	53.789703
2025-05-27 14:38:31	1100003.900000	51.532911	-0.237548	51.533458	53.789703
2025-05-27 14:38:31	1125003.875000	51.263847	-0.087991	51.263923	53.789703
2025-05-27 14:38:31	1150003.850000	51.006239	0.079769	51.006302	53.789703
2025-05-27 14:38:31	1175003.825000	50.759352	0.262603	50.760031	53.789703
2025-05-27 14:38:31	1200003.800000	50.533935	0.452271	50.535959	53.789703
2025-05-27 14:38:31	1225003.775000	50.332152	0.664447	50.336538	53.789703
2025-05-27 14:38:31	1250003.750000	50.151897	0.883304	50.159675	53.789703
2025-05-27 14:38:31	1275003.725000	49.979800	1.109933	49.992122	53.789703
2025-05-27 14:38:31	1300003.700000	49.833441	1.328362	49.851142	53.789703
2025-05-27 14:38:31	1325003.675000	49.713244	1.555953	49.737588	53.789703
2025-05-27 14:38:31	1350003.650000	49.605592	1.775580	49.637360	53.789703
2025-05-27 14:38:31	1375003.625000	49.531570	1.991579	49.571593	53.789703
2025-05-27 14:38:31	1400003.600000	49.467550	2.194438	49.516200	53.789703
2025-05-27 14:38:31	1425003.575000	49.418635	2.395158	49.476644	53.789703
2025-05-27 14:38:31	1450003.550000	49.389281	2.579792	49.456612	53.789703
2025-05-27 14:38:31	1475003.525000	49.363578	2.745307	49.439858	53.789703
2025-05-27 14:38:31	1500003.500000	49.351921	2.885034	49.436176	53.789703
2025-05-27 14:38:31	1525003.475000	49.352089	3.006877	49.443604	53.789703
2025-05-27 14:38:31	1550003.450000	49.349178	3.119878	49.447699	53.789703
2025-05-27 14:38:31	1575003.425000	49.334111	3.201940	49.437910	53.789703
2025-05-27 14:38:31	1600003.400000	49.325918	3.263742	49.433776	53.789703
2025-05-27 14:38:31	1625003.375000	49.309012	3.304773	49.419634	53.789703
2025-05-27 14:38:31	1650003.350000	49.266231	3.334378	49.378939	53.789703
2025-05-27 14:38:31	1675003.325000	49.228081	3.346954	49.341727	53.789703
2025-05-27 14:38:31	1700003.300000	49.160526	3.346772	49.274316	53.789703
2025-05-27 14:38:31	1725003.275000	49.071211	3.336955	49.184541	53.789703
2025-05-27 14:38:31	1750003.250000	48.966452	3.317415	49.078699	53.789703
2025-05-27 14:38:31	1775003.225000	48.825091	3.308434	48.937054	53.789703
2025-05-27 14:38:31	1800003.200000	48.652666	3.293634	48.764023	53.789703
2025-05-27 14:38:31	1825003.175000	48.472957	3.299203	48.585104	53.789703
2025-05-27 14:38:31	1850003.150000	48.267030	3.319990	48.381076	53.789703
2025-05-27 14:38:31	1875003.125000	48.045924	3.360275	48.163287	53.789703
2025-05-27 14:38:31	1900003.100000	47.793632	3.419405	47.915797	53.789703
2025-05-27 14:38:31	1925003.075000	47.543305	3.522294	47.673602	53.789703
2025-05-27 14:38:31	1950003.050000	47.284004	3.649821	47.424659	53.789703
2025-05-27 14:38:31	1975003.025000	47.022758	3.828244	47.178334	53.789703
2025-05-27 14:38:31	2000003.000000	46.763210	4.044633	46.937798	53.789703
2025-05-27 14:38:31	2025002.975000	46.530972	4.300800	46.729308	53.789703
2025-05-27 14:38:31	2050002.950000	46.322750	4.598058	46.550396	53.789703
2025-05-27 14:38:31	2075002.925000	46.161313	4.943421	46.425254	53.789703
2025-05-27 14:38:31	2100002.900000	46.037259	5.330847	46.344872	53.789703
2025-05-27 14:38:31	2125002.875000	45.966047	5.748075	46.324053	53.789703
2025-05-27 14:38:31	2150002.850000	45.982207	6.206367	46.399164	53.789703
2025-05-27 14:38:31	2175002.825000	46.075217	6.679005	46.556790	53.789703
2025-05-27 14:38:31	2200002.800000	46.270624	7.178859	46.824210	53.789703
2025-05-27 14:38:31	2225002.775000	46.568920	7.673211	47.196848	53.789703
2025-05-27 14:38:31	2250002.750000	47.000116	8.153669	47.702130	53.789703
2025-05-27 14:38:31	2275002.725000	47.569565	8.601956	48.341050	53.789703
2025-05-27 14:38:31	2300002.700000	48.289788	8.998264	49.120997	53.789703
2025-05-27 14:38:31	2325002.675000	49.178008	9.306598	50.050867	53.789703
2025-05-27 14:38:31	2350002.650000	50.265849	9.491162	51.154058	53.789703
2025-05-27 14:38:31	2375002.625000	51.532324	9.494094	52.399602	53.789703
2025-05-27 14:38:31	2400002.600000	52.996605	9.260406	53.799584	53.789703
2025-05-27 14:38:31	2425002.575000	54.652894	8.714541	55.343311	53.789703
2025-05-27 14:38:31	2450002.550000	56.456061	7.767003	56.987834	53.789703
2025-05-27 14:38:31	2475002.525000	58.339383	6.320998	58.680820	53.789703
2025-05-27 14:38:31	2500002.500000	60.225216	4.245077	60.374641	53.789703
2025-05-27 14:38:31	2525002.475000	61.928682	1.479692	61.946357	53.789703
2025-05-27 14:38:31	2550002.450000	63.227926	-2.073551	63.261918	53.789703
2025-05-27 14:38:31	2575002.425000	63.822640	-6.340916	64.136859	53.789703
2025-05-27 14:38:31	2600002.400000	63.425171	-11.141131	64.396251	53.789703
2025-05-27 14:38:31	2625002.375000	61.724958	-16.206328	63.817047	53.789703
2025-05-27 14:38:31	2650002.350000	58.659010	-21.072277	62.329129	53.789703
2025-05-27 14:38:31	2675002.325000	54.311273	-25.236340	59.888123	53.789703
2025-05-27 14:38:31	2700002.300000	49.020294	-28.300502	56.603071	53.789703
2025-05-27 14:38:31	2725002.275000	43.196305	-30.009557	52.597474	53.789703
2025-05-27 14:38:31	2750002.250000	37.379311	-30.400809	48.181138	53.789703
2025-05-27 14:38:31	2775002.225000	31.823580	-29.699149	43.529067	53.789703
2025-05-27 14:38:31	2800002.200000	26.858723	-28.106362	38.876195	53.789703
